Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,query,latitude,longitude,school,kindergarten,university,hospital,clinic,supermarket,place_of_worship,bus_station,marketplace
2 - 2 1/2 Storey Terraced,Kinta,Sungei Terap,"TAMAN SAUJANA HARMONI, BATU GAJAH",JLN SAUJANA HARMONI,March 2024,Leasehold,155.00,sq.m,156,sq.m,    ,"RM343,000.00","JLN SAUJANA HARMONI, Kinta, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Semi-Detached,Melaka Tengah,Ayer Molek,TAMAN MOLEK RESIDEN,JLN TUN KUDU,October 2024,Freehold,390.00,sq.m,224,sq.m,    ,"RM1,368,000.00","JLN TUN KUDU, Melaka Tengah, Malaysia",2.2295543,102.2994619,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Gombak,Hulu Klang,TAMAN ZOOVIEW,LORONG TIMUR,August 2024,Freehold,221.00,sq.m,150,sq.m,    ,"RM728,000.00","LORONG TIMUR, Gombak, Malaysia",3.2069763,101.7648397,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Seremban,Setul,TMN MANTIN PUTRA,JALAN MANTIN PUTRA 1A,August 2024,Freehold,130.00,sq.m,160,sq.m,    ,"RM480,000.00","JALAN MANTIN PUTRA 1A, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kampar,Mukim Teja,"TMN SERI INDAH, LAWAN KUDA",JLN SERI INDAH,June 2024,Leasehold,153.00,sq.m,85,sq.m,    ,"RM220,000.00","JLN SERI INDAH, Kampar, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Semi-Detached,Klang,Kelang,PULAU INDAH,LRG MASJID SULTAN 28/KS13,October 2024,Freehold,253.00,sq.m,84,sq.m,    ,"RM420,000.00","LRG MASJID SULTAN 28/KS13, Klang, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Petaling,Bdr Sunway,BOULEVARD SUBANG JAYA-SS12 JAYA,   ,May 2024,Leasehold,114.00,sq.m,-,-,10,"RM600,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Detached,Jasin,Jasin,BANDAR BOTANI PARKLAND,JLN BBP,March 2024,Freehold,394.00,sq.m,131,sq.m,    ,"RM588,000.00","JLN BBP, Jasin, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Kuala Lumpur,Mukim Petaling,ANGKASA CONDOMINIUM,   ,June 2024,Freehold,86.00,sq.m,-,-,10,"RM600,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Kuala Nerus,Kuala Nerus,WAKAF TEMBESU,JLN BT 6 - GONG BADAK PL 29229,April 2024,Leasehold,141.00,sq.m,139,sq.m,    ,"RM419,000.00","JLN BT 6 - GONG BADAK PL 29229, Kuala Nerus, Malaysia",,,No,No,No,No,No,No,No,No,No
